id,value,inserted_at,updated_at
59,AMBEDKAR NAGAR,,
60,ANWAR GANJ,,
61,ASHOK NAGAR,,
62,BABOO PURWA,,
63,BABU PURWA COLONY,,
64,BAKAR GANJ,,
65,BARRA,,
66,BARRA GAON,,
67,BARRA NORTH,,
68,BARRA WEST,,
69,BASANT VIHAR,,
70,BECON GANJ,,
71,BEGAM PURWA,,
72,BEHNA JHABHA,,
73,BHANNANAPUR,,
74,BINAYAKPU,,
75,BINGAWAN,,
76,CHAKERI,,
77,CHAMAN GANJ,,
78,CHANDARI,,
79,CHATTAI  MOHAL,,
80,CHOWK SARRAFA,,
81,CHUNNI GANJ,,
82,CIVIL LINES,,
83,COLLECTOR GANJ,,
84,COLNEL GANJ,,
85,COOPER GANJ,,
86,DABAULI,,
87,DAHELI SUJANPUR,,
88,DALEL PURWA,,
89,DANAKHORI,,
90,FAZAL GANJ,,
91,GANDHI NAGAR,,
92,GANDHIGRAM,,
93,GENERAL GANJ,,
94,GITA NAGAR,,
95,GOVIND NAGAR HARIJAN BASTI,,
96,GOVIND NAGAR NORTH,,
97,GOVIND NAGAR SOUTH,,
98,GUJAIN COLONEY,,
99,GWALTOLI,,
100,HANS PURAM,,
101,HARBANSH MOHAL,,
102,HARIHARNATH SHASTRI NAGAR,,
103,HARJINDER NAGAR,,
104,JAJMAU NORTH,,
105,JAJMAU SOUTH,,
106,JARAULI,,
107,JAWAHAR NAGAR,,
108,JUHI,,
109,JUHI HAMIRPUR ROAD,,
110,JUHI KALA,,
111,KAKADEO,,
112,KALYAN PU R(AWAS vt KAs),,
113,KALYANPUR,,
114,KARRHI,,
115,KAUSHAL PURI,,
116,KHALASI LINE,,
117,KHYORA,,
118,KIDWAI NAGAR NORTH,,
119,KIDWAI NAGAR SOUTH,,
120,KRISHNA NAGAR,,
121,LAJPAT NAGAR,,
122,LAXMI PURWA,,
123,"MAHESHAWARI
MOHAL",,
124,MASWANPUR,,
125,MECROBERT GANJ,,
126,MUNSHI PURWA,,
127,NANKARI,,
128,NARAMAU,,
129,NASEEMABAD,,
130,NAUBASTA EAST,,
131,NAUBASTA WEST,,
132,NAVEEN NAGAR KAKADEO,,
133,NAZIR BAGH,,
134,NIRALA NAGAR,,
135,NWABGANJ,,
136,OLD KANPUR,,
137,OMPURA,,
138,PANKI,,
139,PASHUPANT NAGAR,,
140,PATKAPUR,,
141,PERM NAGAR,,
142,PERMAT,,
143,PRADE,,
144,RAI PURWA,,
145,RATANLAL NAGAR,,
146,RAVIDAS PURAM,,
147,RAWAT PUR,,
148,SABZI MANDI KIDWAI NAGAR,,
149,SAFIPUR,,
150,SANIGAWAN,,
151,SARAIMITA,,
152,SAROJNI NAGAR,,
153,SARVODAYA NAGAR,,
154,SHYAM NAGAR SUJAT GANJ,,
155,SISAMAU NORTH,,
156,SISAMAU SOUTH,,
157,SISAMAU SOUTH,,
158,SUTHER GUNJ,,
159,SWARAJ NAGAR PANKI,,
160,TALAK MOHAL,,
161,TILAK NAGAR,,
162,TIWARIPUR,,
163,TRANSPORT NAGAR,,
164,USMANPUR,,
165,VIJAY NAGAR,,
166,VISHNUPURI,,
167,YASHODA NAGAR,,
168,YASHODA NAGAR BLOCK-S,,
