id,name,parent_id,order_by,inserted_at,updated_at
11,Construction,1,9,,
12,Home Repairs,1,10,,
13,Appliances,1,11,,
14,Home Services,1,12,,
15,Health Services,1,13,,
16,General Office,1,14,,
17,Window AC,13,15,,
18,Split AC,13,16,,
19,T.V. Colour,13,17,,
20,T.V. L.E.D.,13,18,,
21,Raj Mistri,11,19,,
22,Worker,11,20,,
23,Painter,11,21,,
24,Carpenter Expert,11,22,,
25,Light Welding Expert,11,23,,
26,Electrician (Wiring),11,24,,
27,Receptionist ,16,25,,
28,Nursing (Male/Female),15,26,,
29,Care Taker for Old Person ,15,27,,
30,Care Taker for Child,15,28,,
31,Aaya,15,29,,
32,Physiotherapists,15,30,,
33,Plumber(General),12,31,,
34,Electrician General,12,32,,
35,Driver,14,33,,
36,Driver ,14,34,,
37,Mali,14,35,,
38,Cleaner (Male/ Female),14,36,,
39,Cleaner (Male/ Female),14,37,,
40,Gurad With Stick,14,38,,
41,Gurad With Gun,14,39,,
42,Gurad With Rifle,14,40,,
43,Gurad With Pistol,14,41,,
44,Servants for utensils and household cleaning,14,42,,
45,Cook,14,43,,
46,Press,14,44,,
47,Beautician,14,45,,
48,Domestic Servant,14,46,,
