id,sku,name,short_description,description,product_status_id,regular_price,discount_price,quantity,taxable,inserted_at,updated_at
351,SER-1000,Window AC (Per Visit),Service Price Per Visit,Service Price Per Visit,1,400,400,8,0,,
352,SER-1001,Split AC (Per Visit),Service Price Per Visit,Service Price Per Visit,1,400,400,8,0,,
353,SER-1002,T.V. Colour (Per Visit),Service Price Per Visit,Service Price Per Visit,1,300,300,8,0,,
354,SER-1003,T.V. L.E.D. (Per Visit),Service Price Per Visit,Service Price Per Visit,1,500,500,8,0,,
355,SER-1004,Raj Mistri (Per Day),Service Price Per Day,Service Price Per Day,1,600,600,8,0,,
356,SER-1005,Worker (Per Day),Service Price Per Day,Service Price Per Day,1,400,400,8,0,,
357,SER-1006,Painter (Per Day),Service Price Per Day,Service Price Per Day,1,500,500,8,0,,
358,SER-1007,Carpenter Expert (Per Day),Service Price Per Day,Service Price Per Day,1,500,500,8,0,,
359,SER-1008,Light Welding Expert (Per Day),Service Price Per Day,Service Price Per Day,1,500,500,8,0,,
360,SER-1009,Electrician (Wiring) (Per Square Feet),Service Price Per Square Feet,Service Price Per Square Feet,1,14,14,8,0,,
361,SER-1010,Receptionist  (Per Month),Service Price Per Month,Service Price Per Month,1,7000,7000,8,0,,
362,SER-1011,Nursing (Male/Female) (Per Month),Service Price Per Month,Service Price Per Month,1,10000,10000,8,0,,
363,SER-1012,Care Taker for Old Person  (Per Month),Service Price Per Month,Service Price Per Month,1,7000,7000,8,0,,
364,SER-1013,Care Taker for Child (Per Month),Service Price Per Month,Service Price Per Month,1,7000,7000,8,0,,
365,SER-1014,Aaya (Per Month),Service Price Per Month,Service Price Per Month,1,6000,6000,8,0,,
366,SER-1015,Physiotherapists (Per Day),Service Price Per Day,Service Price Per Day,1,400,400,8,0,,
367,SER-1016,Plumber(General) (Per Day),Service Price Per Day,Service Price Per Day,1,500,500,8,0,,
368,SER-1017,Electrician General (Per Visit),Service Price Per Visit,Service Price Per Visit,1,200,200,8,0,,
369,SER-1018,Driver (Per Month),Service Price Per Month,Service Price Per Month,1,8000,8000,8,0,,
370,SER-1019,Driver  (Per Day),Service Price Per Day,Service Price Per Day,1,400,400,8,0,,
371,SER-1020,Mali (Per Month),Service Price Per Month,Service Price Per Month,1,4500,4500,8,0,,
372,SER-1021,Cleaner (Male/ Female) (Per Month),Service Price Per Month,Service Price Per Month,1,5000,5000,8,0,,
373,SER-1022,Cleaner (Male/ Female) (Per Day),Service Price Per Day,Service Price Per Day,1,400,400,8,0,,
374,SER-1023,Gurad With Stick (Per Month),Service Price Per Month,Service Price Per Month,1,8000,8000,8,0,,
375,SER-1024,Gurad With Gun (Per Month),Service Price Per Month,Service Price Per Month,1,10000,10000,8,0,,
376,SER-1025,Gurad With Rifle (Per Month),Service Price Per Month,Service Price Per Month,1,12000,12000,8,0,,
377,SER-1026,Gurad With Pistol (Per Month),Service Price Per Month,Service Price Per Month,1,15000,15000,8,0,,
378,SER-1027,Servants for utensils and household cleaning (Per Month),Service Price Per Month,Service Price Per Month,1,1800,1800,8,0,,
379,SER-1028,Cook (Per Month),Service Price Per Month,Service Price Per Month,1,3000,3000,8,0,,
380,SER-1029,Press (Per Cloth),Service Price Per Cloth,Service Price Per Cloth,1,3,3,8,0,,
381,SER-1030,Beautician (Per Visit),Service Price Per Visit,Service Price Per Visit,1,200,200,8,0,,
382,SER-1031,Domestic Servant (Per Month),Service Price Per Month,Service Price Per Month,1,7000,7000,8,0,,
