attributes_name_id,attributes_value_id,inserted_at,updated_at
1,74,,
2,1,,
2,2,,
2,3,,
2,4,,
2,5,,
2,6,,
3,7,,
3,8,,
3,9,,
3,10,,
3,11,,
4,12,,
4,13,,
4,14,,
4,15,,
4,16,,
5,17,,
5,18,,
5,19,,
5,20,,
5,21,,
5,22,,
6,23,,
6,24,,
6,25,,
6,26,,
6,27,,
9,28,,
9,29,,
9,30,,
9,31,,
10,32,,
10,33,,
10,34,,
10,35,,
10,36,,
10,37,,
10,38,,
10,39,,
10,40,,
10,41,,
10,42,,
10,43,,
10,44,,
10,45,,
10,46,,
10,47,,
10,48,,
10,49,,
10,50,,
12,51,,
12,52,,
12,53,,
12,54,,
12,55,,
12,56,,
12,57,,
12,58,,
7,59,,
7,60,,
7,61,,
7,62,,
7,63,,
7,64,,
8,65,,
8,66,,
8,67,,
13,68,,
13,69,,
13,70,,
13,71,,
13,72,,
13,73,,
11,32,,
11,33,,
11,34,,
11,35,,
11,36,,
11,37,,
11,38,,
11,39,,
11,40,,
11,41,,
11,42,,
11,43,,
11,44,,
11,45,,
11,46,,
11,47,,
11,48,,
11,49,,
11,50,,
