id,value,inserted_at,updated_at
1,1 GB,,
2,2 GB,,
3,3 GB,,
4,4 GB,,
5,5 GB,,
6,6 GB,,
7,Realme,,
8,Samsung,,
9,POCO,,
10,Apple,,
11,Asus,,
12,1 ?,,
13,2 ?,,
14,3 ?,,
15,4 ?,,
16,5 ?,,
17,4 GB,,
18,8 GB,,
19,16 GB,,
20,32 GB,,
21,64 GB,,
22,128 GB,,
23,1000 mAh,,
24,2000 mAh,,
25,3000 mAh,,
26,4000 mAh,,
27,5000 mAh,,
28,3 inch,,
29,4 inch,,
30,5 inch,,
31,6 inch,,
32,3 MP,,
33,4 MP,,
34,5 MP,,
35,6 MP,,
36,7 MP,,
37,8 MP,,
38,9 MP,,
39,10 MP,,
40,11 MP,,
41,12 MP,,
42,13 MP,,
43,14 MP,,
44,15 MP,,
45,16 MP,,
46,17 MP,,
47,18 MP,,
48,19 MP,,
49,20 MP,,
50,21 MP,,
51,AMD,,
52,Apple,,
53,ARM,,
54,Exynos,,
55,HiSilicon,,
56,Huawei,,
57,Mediatek,,
58,Snapdragon,,
59,KitKat,,
60,Lollipop,,
61,Marshmallow,,
62,Nougat,,
63,Oreo,,
64,Pie,,
65,2 G,,
66,3 G,,
67,4 G,,
68,1 GHz,,
69,1.1 GHz,,
70,1.2 GHz,,
71,1.5 GHz,,
72,1.9 GHz,,
73,2 GHz,,
74,Rupee 50-100,,
