category_id,product_id,inserted_at,updated_at
2,1,2020-03-03 12:44:00,
2,2,2020-03-03 12:44:00,
3,3,2020-03-03 12:44:00,
4,4,2020-03-03 12:44:00,
5,5,2020-03-03 12:44:00,
6,6,2020-03-03 12:44:00,
7,7,2020-03-03 12:44:00,
8,8,2020-03-03 12:44:00,
9,9,2020-03-03 12:44:00,
10,10,2020-03-03 12:44:00,
11,11,2020-03-03 12:44:00,
12,12,2020-03-03 12:44:00,
13,13,2020-03-03 12:44:00,
14,14,2020-03-03 12:44:00,
15,15,2020-03-03 12:44:00,
16,16,2020-03-03 12:44:00,
17,17,2020-03-03 12:44:00,
18,18,2020-03-03 12:44:00,
19,19,2020-03-03 12:44:00,
20,20,2020-03-03 12:44:00,
21,21,2020-03-03 12:44:00,
21,22,2020-03-03 12:44:00,
2,23,2020-03-03 12:44:00,
2,24,2020-03-03 12:44:00,
3,25,2020-03-03 12:44:00,
4,26,2020-03-03 12:44:00,
5,27,2020-03-03 12:44:00,
6,28,2020-03-03 12:44:00,
7,29,2020-03-03 12:44:00,
8,30,2020-03-03 12:44:00,
9,31,2020-03-03 12:44:00,
10,32,2020-03-03 12:44:00,
11,33,2020-03-03 12:44:00,
12,34,2020-03-03 12:44:00,
13,35,2020-03-03 12:44:00,
14,36,2020-03-03 12:44:00,
15,37,2020-03-03 12:44:00,
16,38,2020-03-03 12:44:00,
17,39,2020-03-03 12:44:00,
18,40,2020-03-03 12:44:00,
19,41,2020-03-03 12:44:00,
20,42,2020-03-03 12:44:00,
21,43,2020-03-03 12:44:00,
21,44,2020-03-03 12:44:00,
2,45,2020-03-03 12:44:00,
2,46,2020-03-03 12:44:00,
3,47,2020-03-03 12:44:00,
4,48,2020-03-03 12:44:00,
5,49,2020-03-03 12:44:00,
6,50,2020-03-03 12:44:00,
7,51,2020-03-03 12:44:00,
8,52,2020-03-03 12:44:00,
9,53,2020-03-03 12:44:00,
10,54,2020-03-03 12:44:00,
11,55,2020-03-03 12:44:00,
12,56,2020-03-03 12:44:00,
13,57,2020-03-03 12:44:00,
14,58,2020-03-03 12:44:00,
15,59,2020-03-03 12:44:00,
16,60,2020-03-03 12:44:00,
17,61,2020-03-03 12:44:00,
18,62,2020-03-03 12:44:00,
19,63,2020-03-03 12:44:00,
20,64,2020-03-03 12:44:00,
21,65,2020-03-03 12:44:00,
21,66,2020-03-03 12:44:00,
2,67,2020-03-03 12:44:00,
2,68,2020-03-03 12:44:00,
3,69,2020-03-03 12:44:00,
4,70,2020-03-03 12:44:00,
5,71,2020-03-03 12:44:00,
6,72,2020-03-03 12:44:00,
7,73,2020-03-03 12:44:00,
8,74,2020-03-03 12:44:00,
9,75,2020-03-03 12:44:00,
10,76,2020-03-03 12:44:00,
11,77,2020-03-03 12:44:00,
12,78,2020-03-03 12:44:00,
13,79,2020-03-03 12:44:00,
14,80,2020-03-03 12:44:00,
15,81,2020-03-03 12:44:00,
16,82,2020-03-03 12:44:00,
17,83,2020-03-03 12:44:00,
18,84,2020-03-03 12:44:00,
19,85,2020-03-03 12:44:00,
20,86,2020-03-03 12:44:00,
21,87,2020-03-03 12:44:00,
21,88,2020-03-03 12:44:00,
2,89,2020-03-03 12:44:00,
2,90,2020-03-03 12:44:00,
3,91,2020-03-03 12:44:00,
4,92,2020-03-03 12:44:00,
5,93,2020-03-03 12:44:00,
6,94,2020-03-03 12:44:00,
7,95,2020-03-03 12:44:00,
8,96,2020-03-03 12:44:00,
9,97,2020-03-03 12:44:00,
10,98,2020-03-03 12:44:00,
11,99,2020-03-03 12:44:00,
12,100,2020-03-03 12:44:00,
13,101,2020-03-03 12:44:00,
14,102,2020-03-03 12:44:00,
15,103,2020-03-03 12:44:00,
16,104,2020-03-03 12:44:00,
17,105,2020-03-03 12:44:00,
18,106,2020-03-03 12:44:00,
19,107,2020-03-03 12:44:00,
20,108,2020-03-03 12:44:00,
21,109,2020-03-03 12:44:00,
21,110,2020-03-03 12:44:00,
2,111,2020-03-03 12:44:00,
2,112,2020-03-03 12:44:00,
3,113,2020-03-03 12:44:00,
4,114,2020-03-03 12:44:00,
5,115,2020-03-03 12:44:00,
6,116,2020-03-03 12:44:00,
7,117,2020-03-03 12:44:00,
8,118,2020-03-03 12:44:00,
9,119,2020-03-03 12:44:00,
10,120,2020-03-03 12:44:00,
11,121,2020-03-03 12:44:00,
12,122,2020-03-03 12:44:00,
13,123,2020-03-03 12:44:00,
14,124,2020-03-03 12:44:00,
15,125,2020-03-03 12:44:00,
16,126,2020-03-03 12:44:00,
17,127,2020-03-03 12:44:00,
18,128,2020-03-03 12:44:00,
19,129,2020-03-03 12:44:00,
20,130,2020-03-03 12:44:00,
21,131,2020-03-03 12:44:00,
21,132,2020-03-03 12:44:00,
2,133,2020-03-03 12:44:00,
2,134,2020-03-03 12:44:00,
3,135,2020-03-03 12:44:00,
4,136,2020-03-03 12:44:00,
5,137,2020-03-03 12:44:00,
6,138,2020-03-03 12:44:00,
7,139,2020-03-03 12:44:00,
8,140,2020-03-03 12:44:00,
9,141,2020-03-03 12:44:00,
10,142,2020-03-03 12:44:00,
11,143,2020-03-03 12:44:00,
12,144,2020-03-03 12:44:00,
13,145,2020-03-03 12:44:00,
14,146,2020-03-03 12:44:00,
15,147,2020-03-03 12:44:00,
16,148,2020-03-03 12:44:00,
17,149,2020-03-03 12:44:00,
18,150,2020-03-03 12:44:00,
19,151,2020-03-03 12:44:00,
20,152,2020-03-03 12:44:00,
21,153,2020-03-03 12:44:00,
21,154,2020-03-03 12:44:00,
2,155,2020-03-03 12:44:00,
2,156,2020-03-03 12:44:00,
3,157,2020-03-03 12:44:00,
4,158,2020-03-03 12:44:00,
5,159,2020-03-03 12:44:00,
6,160,2020-03-03 12:44:00,
7,161,2020-03-03 12:44:00,
8,162,2020-03-03 12:44:00,
9,163,2020-03-03 12:44:00,
10,164,2020-03-03 12:44:00,
11,165,2020-03-03 12:44:00,
12,166,2020-03-03 12:44:00,
13,167,2020-03-03 12:44:00,
14,168,2020-03-03 12:44:00,
15,169,2020-03-03 12:44:00,
16,170,2020-03-03 12:44:00,
17,171,2020-03-03 12:44:00,
18,172,2020-03-03 12:44:00,
19,173,2020-03-03 12:44:00,
20,174,2020-03-03 12:44:00,
21,175,2020-03-03 12:44:00,
21,176,2020-03-03 12:44:00,
2,177,2020-03-03 12:44:00,
2,178,2020-03-03 12:44:00,
3,179,2020-03-03 12:44:00,
4,180,2020-03-03 12:44:00,
5,181,2020-03-03 12:44:00,
6,182,2020-03-03 12:44:00,
7,183,2020-03-03 12:44:00,
8,184,2020-03-03 12:44:00,
9,185,2020-03-03 12:44:00,
10,186,2020-03-03 12:44:00,
11,187,2020-03-03 12:44:00,
12,188,2020-03-03 12:44:00,
13,189,2020-03-03 12:44:00,
14,190,2020-03-03 12:44:00,
15,191,2020-03-03 12:44:00,
16,192,2020-03-03 12:44:00,
17,193,2020-03-03 12:44:00,
18,194,2020-03-03 12:44:00,
19,195,2020-03-03 12:44:00,
20,196,2020-03-03 12:44:00,
21,197,2020-03-03 12:44:00,
21,198,2020-03-03 12:44:00,
2,199,2020-03-03 12:44:00,
2,200,2020-03-03 12:44:00,
3,201,2020-03-03 12:44:00,
4,202,2020-03-03 12:44:00,
5,203,2020-03-03 12:44:00,
6,204,2020-03-03 12:44:00,
7,205,2020-03-03 12:44:00,
8,206,2020-03-03 12:44:00,
9,207,2020-03-03 12:44:00,
10,208,2020-03-03 12:44:00,
11,209,2020-03-03 12:44:00,
12,210,2020-03-03 12:44:00,
13,211,2020-03-03 12:44:00,
14,212,2020-03-03 12:44:00,
15,213,2020-03-03 12:44:00,
16,214,2020-03-03 12:44:00,
17,215,2020-03-03 12:44:00,
18,216,2020-03-03 12:44:00,
19,217,2020-03-03 12:44:00,
20,218,2020-03-03 12:44:00,
21,219,2020-03-03 12:44:00,
21,220,2020-03-03 12:44:00,
2,221,2020-03-03 12:44:00,
2,222,2020-03-03 12:44:00,
3,223,2020-03-03 12:44:00,
4,224,2020-03-03 12:44:00,
5,225,2020-03-03 12:44:00,
6,226,2020-03-03 12:44:00,
7,227,2020-03-03 12:44:00,
8,228,2020-03-03 12:44:00,
9,229,2020-03-03 12:44:00,
10,230,2020-03-03 12:44:00,
11,231,2020-03-03 12:44:00,
12,232,2020-03-03 12:44:00,
13,233,2020-03-03 12:44:00,
14,234,2020-03-03 12:44:00,
15,235,2020-03-03 12:44:00,
16,236,2020-03-03 12:44:00,
17,237,2020-03-03 12:44:00,
18,238,2020-03-03 12:44:00,
19,239,2020-03-03 12:44:00,
20,240,2020-03-03 12:44:00,
21,241,2020-03-03 12:44:00,
