id,sku,name,short_description,description,product_status_id,regular_price,discount_price,quantity,taxable,inserted_at,updated_at
1,abc1,Product 1,Product Description 1,test description,1,25,23,4,0,2020-03-03 12:39:00,
2,abc2,Product 2,Product Description 2,Product Description 2,1,26,23,4,0,2020-03-03 12:39:00,
3,abc3,Product 3,Product Description 3,Product Description 3,1,27,23,4,0,2020-03-03 12:39:00,
4,abc4,Product 4,Product Description 4,Product Description 4,1,28,23,4,0,2020-03-03 12:39:00,
5,abc5,Product 5,Product Description 5,Product Description 5,1,29,23,4,0,2020-03-03 12:39:00,
6,abc6,Product 6,Product Description 6,Product Description 6,1,30,23,4,0,2020-03-03 12:39:00,
7,abc7,Product 7,Product Description 7,Product Description 7,1,31,23,4,0,2020-03-03 12:39:00,
8,abc8,Product 8,Product Description 8,Product Description 8,1,32,23,4,0,2020-03-03 12:39:00,
9,abc9,Product 9,Product Description 9,Product Description 9,1,33,23,4,0,2020-03-03 12:39:00,
10,abc10,Product 10,Product Description 10,Product Description 10,1,34,23,4,0,2020-03-03 12:39:00,
11,abc11,Product 11,Product Description 11,Product Description 11,1,35,23,4,0,2020-03-03 12:39:00,
12,abc12,Product 12,Product Description 12,Product Description 12,1,36,23,4,0,2020-03-03 12:39:00,
13,abc13,Product 13,Product Description 13,Product Description 13,1,37,23,4,0,2020-03-03 12:39:00,
14,abc14,Product 14,Product Description 14,Product Description 14,1,38,23,4,0,2020-03-03 12:39:00,
15,abc15,Product 15,Product Description 15,Product Description 15,1,39,23,4,0,2020-03-03 12:39:00,
16,abc16,Product 16,Product Description 16,Product Description 16,1,40,23,4,0,2020-03-03 12:39:00,
17,abc17,Product 17,Product Description 17,Product Description 17,1,41,23,4,0,2020-03-03 12:39:00,
18,abc18,Product 18,Product Description 18,Product Description 18,1,42,23,4,0,2020-03-03 12:39:00,
19,abc19,Product 19,Product Description 19,Product Description 19,1,43,23,4,0,2020-03-03 12:39:00,
20,abc20,Product 20,Product Description 20,Product Description 20,1,44,23,4,0,2020-03-03 12:39:00,
21,abc21,Product 21,Product Description 21,Product Description 21,1,45,23,4,0,2020-03-03 12:39:00,
22,abc22,Product 22,Product Description 22,Product Description 22,1,46,23,4,0,2020-03-03 12:39:00,
23,abc23,Product 23,Product Description 23,Product Description 23,1,47,23,4,0,2020-03-03 12:39:00,
24,abc24,Product 24,Product Description 24,Product Description 24,1,48,23,4,0,2020-03-03 12:39:00,
25,abc25,Product 25,Product Description 25,Product Description 25,1,49,23,4,0,2020-03-03 12:39:00,
26,abc26,Product 26,Product Description 26,Product Description 26,1,50,23,4,0,2020-03-03 12:39:00,
27,abc27,Product 27,Product Description 27,Product Description 27,1,51,23,4,0,2020-03-03 12:39:00,
28,abc28,Product 28,Product Description 28,Product Description 28,1,52,23,4,0,2020-03-03 12:39:00,
