id,value,inserted_at,updated_at
1,male,,
2,female,,
3,below 21,,
4,21-30,,
5,31-40,,
6,41-50,,
7,51-60,,
8,above 60,,
9,gen,,
10,obc,,
11,sc,,
12,other,,
13,Illiterate,,
14,Literate,,
15,5th,,
16,8th,,
17,10th,,
18,12th,,
19,b.a,,
20,b.com,,
21,b.sc,,
22,graduation,,
23,m.a,,
24,m.com,,
25,m.sc,,
26,iti,,
27,computer operator,,
28,driver,,
29,electrician,,
30,guard,,
31,teacher,,
32,support staff,,
33,maid,,
34,Kanpur,,
35,Bariatric Surgery,,
36,Cancer Radiation Therapy,,
37,Cancer Surgery,,
38,Cardiology,,
39,Cardiovascular & Thoracic Surgery,,
40,Clinical Haematology & BMT,,
41,Dermatology,,
42,Endocrinology,,
43,ENT,,
44,Gastroenterology,,
45,Gastroenterology Surgery,,
46,Gynaecology,,
47,IVF and Infertility,,
48,Nephrology,,
49,Neurology,,
50,Neurosurgery,,
51,Orthopedics,,
52,Paediatric Cardiology,,
53,Pediatric Surgery,,
54,Plastic Surgery,,
55,Pulmonary Medicine,,
56,Radiology,,
57,Rheumatology,,
58,Urology,,
