id,sku,name,short_description,description,product_status_id,regular_price,discount_price,quantity,taxable,inserted_at,updated_at
1,CLC/Z5/2409,sadaf siddiqui,name:sadaf siddiqui \n gender:f \n age:21 \n qualification:graduation,name:sadaf siddiqui \n gender:f \n age:21 \n address:136 a khyora nawabganj \n contact:6307091388 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
2,CLC/Z5/2420,om prakash prajapti,name:om prakash prajapti \n gender:m \n age:24 \n qualification:12,name:om prakash prajapti \n gender:m \n age:24 \n address:38 khadepur colny \n contact:8090259588 \n qualification:12 \n caste:obc,1,1200,1000,8,0,,
3,CLC/Z5/2425,chandni kumari,name:chandni kumari \n gender:f \n age:22 \n qualification:graduation,name:chandni kumari \n gender:f \n age:22 \n address:3/823 ambedkar puram \n contact:8858621147 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
4,CLC/Z5/2427,ayush kumar,name:ayush kumar \n gender:m \n age:22 \n qualification:12,name:ayush kumar \n gender:m \n age:22 \n address:109/400 nehru nagar \n contact:9598899110 \n qualification:12 \n caste:obc,1,1200,1000,8,0,,
5,CLC/Z5/2430,shanker singh,name:shanker singh \n gender:m \n age:38 \n qualification:graduation,name:shanker singh \n gender:m \n age:38 \n address:173/8 sashtri nagar \n contact:9795470202 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
6,CLC/Z5/2431,shashi bhushad,name:shashi bhushad \n gender:m \n age:25 \n qualification:graduation,name:shashi bhushad \n gender:m \n age:25 \n address:chc musanagar \n contact: \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
7,CLC/Z5/2438,asmita singh,name:asmita singh \n gender:f \n age:26 \n qualification:graduation,name:asmita singh \n gender:f \n age:26 \n address:132/691 munsi purwa \n contact:8604333465 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
8,CLC/Z5/2439,akhilesh singh,name:akhilesh singh \n gender:m \n age:26 \n qualification:graduation,name:akhilesh singh \n gender:m \n age:26 \n address:paungha thoura \n contact:9198908082 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
9,CLC/Z5/2440,saroj kumar,name:saroj kumar \n gender:m \n age:26 \n qualification:graduation,name:saroj kumar \n gender:m \n age:26 \n address:malak gadar unnao  \n contact:9935922608 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
10,CLC/Z5/2441,praveen pal,name:praveen pal \n gender:m \n age:24 \n qualification:graduation,name:praveen pal \n gender:m \n age:24 \n address:majhhoriya unnao \n contact:8726207219 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
11,CLC/Z5/2442,pradeep kumar,name:pradeep kumar \n gender:m \n age:40 \n qualification:graduation,name:pradeep kumar \n gender:m \n age:40 \n address:127/772 saket nagar \n contact:7380809339 \n qualification:graduation \n caste:sc,1,1200,1000,8,0,,
12,CLC/Z5/2445,ravi kumar,name:ravi kumar \n gender:m \n age:30 \n qualification:graduation,name:ravi kumar \n gender:m \n age:30 \n address:sadullapur pac moad \n contact:7268953135 \n qualification:graduation \n caste:sc,1,1200,1000,8,0,,
13,CLC/Z5/2446,abhishek katiyar,name:abhishek katiyar \n gender:m \n age:22 \n qualification:12,name:abhishek katiyar \n gender:m \n age:22 \n address:mardanpur kanpur \n contact:9648291514 \n qualification:12 \n caste:obc,1,1200,1000,8,0,,
14,CLC/Z5/2447,vivek kumar,name:vivek kumar \n gender:m \n age:29 \n qualification:graduation,name:vivek kumar \n gender:m \n age:29 \n address:subhanpur bilhaur \n contact:8853627221 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
15,CLC/Z5/2448,parul shukla,name:parul shukla \n gender:f \n age:25 \n qualification:graduation,name:parul shukla \n gender:f \n age:25 \n address:r I babewar itwah \n contact:6261306581 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
16,CLC/Z5/2449,shiv om ,name:shiv om  \n gender:m \n age:22 \n qualification:graduation,name:shiv om  \n gender:m \n age:22 \n address:surkhapur jajpur \n contact: \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
17,CLC/Z5/2450,azhar shuhail,name:azhar shuhail \n gender:m \n age:29 \n qualification:graduation,name:azhar shuhail \n gender:m \n age:29 \n address:83/251 param juhi \n contact:8799130150 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
18,CLC/Z5/2451,sarita devi,name:sarita devi \n gender:f \n age:23 \n qualification:bsc,name:sarita devi \n gender:f \n age:23 \n address:85 a anand nagar \n contact:9517084575 \n qualification:bsc \n caste:GENREL,1,1200,1000,8,0,,
19,CLC/Z5/2453,sahebey Lm,name:sahebey Lm \n gender:m \n age:27 \n qualification:graduation,name:sahebey Lm \n gender:m \n age:27 \n address:132/255 babu purwa \n contact:7007399289 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
20,CLC/Z5/2461,vimal kumar,name:vimal kumar \n gender:m \n age:19 \n qualification:graduation,name:vimal kumar \n gender:m \n age:19 \n address:62 a goverdhanpurwa \n contact:6307652197 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
21,CLC/Z5/2466,shivam kashyap,name:shivam kashyap \n gender:m \n age:23 \n qualification:graduation,name:shivam kashyap \n gender:m \n age:23 \n address:2a/201 azad nagar \n contact:8601258197 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
22,CLC/Z5/2467,sidhdharth shahu,name:sidhdharth shahu \n gender:m \n age:23 \n qualification:graduation,name:sidhdharth shahu \n gender:m \n age:23 \n address:2a/135 azad nagar \n contact:8840045376 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
23,CLC/Z5/2478,alok,name:alok \n gender:m \n age:20 \n qualification:graduation,name:alok \n gender:m \n age:20 \n address:keeratpur bhausana shivrajpur \n contact:9005311546 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
24,CLC/Z5/2479,anshuman sahu,name:anshuman sahu \n gender:m \n age:24 \n qualification:graduation,name:anshuman sahu \n gender:m \n age:24 \n address:2a/377 azad nagar  \n contact:8840321723 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
25,CLC/Z5/2480,tanya sahu,name:tanya sahu \n gender:f \n age:21 \n qualification:graduation,name:tanya sahu \n gender:f \n age:21 \n address:2a/377 azad nagar  \n contact:8738061048 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
26,CLC/Z5/2482,piyush sahu,name:piyush sahu \n gender:m \n age:37 \n qualification:graduation,name:piyush sahu \n gender:m \n age:37 \n address:209 mini barra 2 \n contact:6387283240 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
27,CLC/Z5/2487,ashish kumar shen,name:ashish kumar shen \n gender:m \n age:25 \n qualification:graduation,name:ashish kumar shen \n gender:m \n age:25 \n address:12/7 vidhyarthi nagar \n contact:7985498483 \n qualification:graduation \n caste:sc,1,1200,1000,8,0,,
28,CLC/Z5/2488,sweta mishra,name:sweta mishra \n gender:f \n age:30 \n qualification:graduation,name:sweta mishra \n gender:f \n age:30 \n address:65 charari lal banglow \n contact:8765187274 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
29,CLC/Z5/2489,alok tiwari,name:alok tiwari \n gender:m \n age:22 \n qualification:graduation,name:alok tiwari \n gender:m \n age:22 \n address:sikrodhi danda \n contact:8318634482 \n qualification:graduation \n caste:GENREL,1,1200,1000,8,0,,
30,CLC/Z5/2491,DIKSHA KATIYAR,name:DIKSHA KATIYAR \n gender:F \n age:23 \n qualification:graduation,name:DIKSHA KATIYAR \n gender:F \n age:23 \n address:14/250 RATANPUR \n contact:8052529052 \n qualification:graduation \n caste:obc,1,1200,1000,8,0,,
31,CLC/Z5/2492,ANKUL SINGH,name:ANKUL SINGH \n gender:M \n age:19 \n qualification:12,name:ANKUL SINGH \n gender:M \n age:19 \n address:KAJIPUR CHAUDHARIYA \n contact:7266016401 \n qualification:12 \n caste:obc,1,1200,1000,8,0,,
32,CLC/Z5/2493,SHIKHA SINGH,name:SHIKHA SINGH \n gender:F \n age:22 \n qualification:12,name:SHIKHA SINGH \n gender:F \n age:22 \n address:499 KACHCHI BASTI GN \n contact:7985498483 \n qualification:12 \n caste:obc,1,1200,1000,8,0,,
