ques_id,expression,disease,disease_type,ques_eng,refer_if,ques_hi,is_required,images
1,age >= 1 && age <= 216,6.Congenital cataract,Defects at Birth,Grey or white cloudiness of the pupil (which is normally black),Yes,पुतली का ग्रे या सफ़ेद बादल (जो सामान्य रूप से काला होता है),Yes,"1.png,2.png"
2,age >= 1 && age <= 216,11.Vitamin A deficiency (Bitot spot),Deficiencies,For Bitot’s spot in the eyes (examine both eyes),Yes,आंखों में बिटोट के धब्बे के लिए (दोनों आंखों की जांच करें),Yes,1.png
3,age >= 1 && age <= 216,3.Cleft Lip & Palate ,Defects at Birth,Cleft Lip and Cleft Palate?,Yes,फांक होंठ और फांक तालु?,Yes,"1.png,2.png,3.png,4.png,5.png,6.png"
4,age >= 1 && age <= 216,19.Dental Conditions ,Child hood Diseases,"Check for White, opaque, dull, white band of de-min-eralized enamel especially upper front teeth",Yes,"व्हाइट, अपारदर्शी, सुस्त, डी-मिन-एरीलाइज्ड तामचीनी के सफेद बैंड की जाँच करें विशेष रूप से ऊपरी सामने के दांत",Yes,"1.jpeg,2.jpeg,3.jpeg,4.jpeg"
5,age >= 1 && age <= 216,19.Dental Conditions ,Child hood Diseases,"Check for Yellow or brown discolored area, break in continuity of tooth",Yes,"पीले या भूरे रंग के फीका पड़ा हुआ क्षेत्र के लिए जाँच करें, दांत की निरंतरता में टूट",Yes,"5.jpeg,6.jpeg,7.jpeg,8.jpeg"
6,age >= 1 && age <= 216,19.Dental Conditions ,Child hood Diseases,Look for Breakdown of teeth,Yes,दांतों का टूटना देखें,Yes,"9.jpeg,10.jpeg,11.jpeg,12.jpeg"
7,age >= 1 && age <= 216,19.Dental Conditions ,Child hood Diseases,"Look for white/brown areas, cavitations, swollen/bleeding/red gums",Yes,"सफेद / भूरे रंग के क्षेत्रों, छिद्रों, सूजे हुए / रक्तस्राव / लाल मसूड़ों की तलाश करें",Yes,"13.jpeg,14.jpeg"
8,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Is the child suffering from cold or fever?,Yes,क्या बच्चा सर्दी या बुखार से पीड़ित है?,Yes,
9,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Is there pain in the ear?,Yes,क्या कान में दर्द है?,Yes,
10,age >= 1 && age <= 216,16.Otitis Media,Child hood Diseases,Is there discharge from ear (or pus)?,Yes,"क्या कान (या मवाद) से निर्वहन होता है? यदि हाँ, तो कितने दिनों के लिए?",Yes,"1.png,2.png"
