sno,indicator,gender,input,input_value,output,-3sd,-2sd,-1sd,median,1sd,2sd,3sd
1,weight for age,female,age,0,weight,2,2.4,2.8,3.2,3.7,4.2,4.8
2,weight for age,female,age,1,weight,2.7,3.2,3.6,4.2,4.8,5.5,6.2
3,weight for age,female,age,2,weight,3.4,3.9,4.5,5.1,5.8,6.6,7.5
4,weight for age,female,age,3,weight,4,4.5,5.2,5.8,6.6,7.5,8.5
5,weight for age,female,age,4,weight,4.4,5,5.7,6.4,7.3,8.2,9.3
6,weight for age,female,age,5,weight,4.8,5.4,6.1,6.9,7.8,8.8,10
7,weight for age,female,age,6,weight,5.1,5.7,6.5,7.3,8.2,9.3,10.6
8,weight for age,female,age,7,weight,5.3,6,6.8,7.6,8.6,9.8,11.1
9,weight for age,female,age,8,weight,5.6,6.3,7,7.9,9,10.2,11.6
10,weight for age,female,age,9,weight,5.8,6.5,7.3,8.2,9.3,10.5,12
11,weight for age,female,age,10,weight,5.9,6.7,7.5,8.5,9.6,10.9,12.4
12,weight for age,female,age,11,weight,6.1,6.9,7.7,8.7,9.9,11.2,12.8
13,weight for age,female,age,12,weight,6.3,7,7.9,8.9,10.1,11.5,13.1
14,weight for age,female,age,13,weight,6.4,7.2,8.1,9.2,10.4,11.8,13.5
15,weight for age,female,age,14,weight,6.6,7.4,8.3,9.4,10.6,12.1,13.8
16,weight for age,female,age,15,weight,6.7,7.6,8.5,9.6,10.9,12.4,14.1
17,weight for age,female,age,16,weight,6.9,7.7,8.7,9.8,11.1,12.6,14.5
18,weight for age,female,age,17,weight,7,7.9,8.9,10,11.4,12.9,14.8
19,weight for age,female,age,18,weight,7.2,8.1,9.1,10.2,11.6,13.2,15.1
20,weight for age,female,age,19,weight,7.3,8.2,9.2,10.4,11.8,13.5,15.4
21,weight for age,female,age,20,weight,7.5,8.4,9.4,10.6,12.1,13.7,15.7
22,weight for age,female,age,21,weight,7.6,8.6,9.6,10.9,12.3,14,16
23,weight for age,female,age,22,weight,7.8,8.7,9.8,11.1,12.5,14.3,16.4
24,weight for age,female,age,23,weight,7.9,8.9,10,11.3,12.8,14.6,16.7
25,weight for age,female,age,24,weight,8.1,9,10.2,11.5,13,14.8,17
26,weight for age,female,age,25,weight,8.2,9.2,10.3,11.7,13.3,15.1,17.3
27,weight for age,female,age,26,weight,8.4,9.4,10.5,11.9,13.5,15.4,17.7
